t_s,mesh_sysid,role,lat,lon,rel_alt_m
46.94,1,leader,-35.3632609,149.1652298,2.23
47.44,1,leader,-35.3632609,149.1652298,3.39
47.94,1,leader,-35.3632609,149.1652298,4.67
48.44,1,leader,-35.3632609,149.1652298,5.95
48.94,1,leader,-35.3632609,149.1652298,7.19
49.44,1,leader,-35.3632609,149.1652298,8.42
49.94,1,leader,-35.3632609,149.1652298,9.66
50.44,1,leader,-35.3632609,149.1652298,10.90
50.94,1,leader,-35.3632609,149.1652298,12.13
51.44,1,leader,-35.3632609,149.1652298,13.22
51.94,1,leader,-35.3632609,149.1652298,14.06
52.44,1,leader,-35.3632609,149.1652298,14.63
52.94,1,leader,-35.3632609,149.1652298,14.94
53.45,1,leader,-35.3632609,149.1652298,15.00
53.94,1,leader,-35.3632609,149.1652298,14.97
54.45,1,leader,-35.3632609,149.1652298,14.95
54.94,1,leader,-35.3632609,149.1652298,14.95
55.44,1,leader,-35.3632609,149.1652298,14.97
55.94,1,leader,-35.3632609,149.1652298,14.98
56.44,1,leader,-35.3632609,149.1652298,14.98
56.94,1,leader,-35.3632609,149.1652297,14.99
57.44,1,leader,-35.3632609,149.1652297,14.99
57.94,1,leader,-35.3632608,149.1652297,14.99
58.44,1,leader,-35.3632608,149.1652297,14.99
58.94,1,leader,-35.3632608,149.1652297,14.99
59.44,1,leader,-35.3632608,149.1652297,14.99
59.94,1,leader,-35.3632608,149.1652297,14.99
60.45,1,leader,-35.3632608,149.1652297,15.00
60.95,1,leader,-35.3632608,149.1652298,15.00
61.44,1,leader,-35.3632608,149.1652298,15.00
61.94,1,leader,-35.3632608,149.1652298,15.00
62.44,1,leader,-35.3632608,149.1652298,15.00
62.94,1,leader,-35.3632608,149.1652298,15.00
63.45,1,leader,-35.3632608,149.1652298,15.00
63.95,1,leader,-35.3632608,149.1652298,15.00
64.44,1,leader,-35.3632608,149.1652298,15.00
64.94,1,leader,-35.3632608,149.1652298,15.00
65.44,1,leader,-35.3632609,149.1652298,15.00
65.94,1,leader,-35.3632609,149.1652298,15.00
66.44,1,leader,-35.3632609,149.1652298,15.00
66.95,1,leader,-35.3632609,149.1652298,15.00
67.44,1,leader,-35.3632609,149.1652298,15.00
67.94,1,leader,-35.3632609,149.1652298,15.00
68.44,1,leader,-35.3632609,149.1652298,15.00
68.94,1,leader,-35.3632609,149.1652298,15.00
69.44,1,leader,-35.3632609,149.1652298,15.00
69.95,1,leader,-35.3632609,149.1652298,15.00
70.44,1,leader,-35.3632609,149.1652298,15.00
70.94,1,leader,-35.3632609,149.1652298,15.00
71.45,1,leader,-35.3632609,149.1652298,15.00
71.94,1,leader,-35.3632609,149.1652298,15.00
72.45,1,leader,-35.3632609,149.1652298,15.00
72.94,1,leader,-35.3632609,149.1652298,15.00
73.45,1,leader,-35.3632609,149.1652298,15.00
73.94,1,leader,-35.3632609,149.1652298,15.00
74.45,1,leader,-35.3632609,149.1652298,15.00
74.95,1,leader,-35.3632609,149.1652298,15.00
75.44,1,leader,-35.3632609,149.1652298,15.00
75.95,1,leader,-35.3632609,149.1652298,15.00
76.44,1,leader,-35.3632609,149.1652298,15.00
76.95,1,leader,-35.3632609,149.1652298,15.00
77.45,1,leader,-35.3632609,149.1652298,15.00
77.95,1,leader,-35.3632609,149.1652298,15.00
78.44,1,leader,-35.3632609,149.1652298,15.00
78.95,1,leader,-35.3632609,149.1652298,15.00
79.45,1,leader,-35.3632609,149.1652298,15.00
79.95,1,leader,-35.3632609,149.1652298,15.00
80.45,1,leader,-35.3632609,149.1652298,15.00
80.95,1,leader,-35.3632609,149.1652298,15.00
81.45,1,leader,-35.3632609,149.1652298,15.00
81.95,1,leader,-35.3632609,149.1652298,15.00
82.45,1,leader,-35.3632609,149.1652298,15.00
82.95,1,leader,-35.3632609,149.1652298,15.00
83.45,1,leader,-35.3632609,149.1652298,15.00
83.94,1,leader,-35.3632609,149.1652298,15.00
84.45,1,leader,-35.3632609,149.1652298,15.00
84.95,1,leader,-35.3632609,149.1652298,15.00
85.45,1,leader,-35.3632609,149.1652298,15.00
85.95,1,leader,-35.3632609,149.1652298,15.00
86.45,1,leader,-35.3632609,149.1652298,15.00
86.94,1,leader,-35.3632609,149.1652298,15.00
87.45,1,leader,-35.3632609,149.1652298,15.00
87.95,1,leader,-35.3632609,149.1652298,15.00
88.45,1,leader,-35.3632609,149.1652298,15.00
88.95,1,leader,-35.3632609,149.1652298,15.00
89.45,1,leader,-35.3632609,149.1652298,15.00
89.95,1,leader,-35.3632609,149.1652298,15.00
90.45,1,leader,-35.3632609,149.1652298,15.00
90.95,1,leader,-35.3632609,149.1652298,15.00
91.45,1,leader,-35.3632609,149.1652298,15.00
91.95,1,leader,-35.3632609,149.1652298,15.00
92.45,1,leader,-35.3632609,149.1652298,15.00
92.95,1,leader,-35.3632609,149.1652298,15.00
93.45,1,leader,-35.3632609,149.1652298,15.00
93.95,1,leader,-35.3632609,149.1652298,15.00
94.45,1,leader,-35.3632609,149.1652298,15.00
94.95,1,leader,-35.3632609,149.1652298,15.00
95.45,1,leader,-35.3632609,149.1652298,15.00
95.95,1,leader,-35.3632609,149.1652298,15.00
96.45,1,leader,-35.3632609,149.1652298,15.00
96.95,1,leader,-35.3632609,149.1652298,15.00
97.45,1,leader,-35.3632609,149.1652298,15.00
97.95,1,leader,-35.3632609,149.1652298,15.00
98.45,1,leader,-35.3632609,149.1652298,15.00
98.95,1,leader,-35.3632609,149.1652298,15.00
99.45,1,leader,-35.3632609,149.1652298,15.00
99.95,1,leader,-35.3632609,149.1652298,15.00
100.45,1,leader,-35.3632609,149.1652298,15.00
